anime_id,name,genre,type,episodes,rating,members,cluster,pca_1,pca_2
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,1.0,9.37,200630,1,3.3020009463205544,0.30313217119154756
5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64.0,9.26,793665,0,13.918956467473842,1.7464791313590775
28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51.0,9.25,114262,2,1.7557765001226622,0.09292705639098908
9253,Steins;Gate,"Sci-Fi, Thriller",TV,24.0,9.17,673572,0,11.768961881316429,1.4541930664769052
9969,Gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51.0,9.16,151266,2,2.418249747240886,0.182988538283355
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10.0,9.15,93351,2,1.3814121592273751,0.04203321659390588
11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148.0,9.13,425855,0,7.3341471219286545,0.8512917555394055
820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,110.0,9.11,80679,2,1.1545485502261286,0.011191710309718744
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1.0,9.1,72534,2,1.0087306765427984,-0.008631843090273733
15417,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13.0,9.11,81109,2,1.1622467314027805,0.012238257634702987
4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24.0,9.06,456749,0,7.887234585350728,0.9264825300930418
28851,Koe no Katachi,"Drama, School, Shounen",Movie,1.0,9.05,102733,2,1.5493757308537721,0.06486741892646936
918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201.0,9.04,336376,1,5.73222723005503,0.6335149925341353
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25.0,8.98,572888,0,9.985981670575113,1.214739849078012
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25.0,8.93,179342,2,2.940427230233831,0.2569153989425379
199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1.0,8.93,466254,0,8.076940155246913,0.9552107154678465
23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22.0,8.92,416397,0,7.184362901934478,0.8338672038824047
24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10.0,8.88,75894,2,1.088423866600546,0.005140450861209456
12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1.0,8.84,226193,1,3.77918882629739,0.37094281457704337
1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25.0,8.83,715151,0,12.532880156003174,1.5609839469715818
263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75.0,8.83,157670,2,2.5524388989305624,0.20416941376333145
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4.0,8.83,129307,2,2.0446632879692013,0.13513866544117228
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26.0,8.82,486824,0,8.445199659441645,1.0052746188979074
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12.0,8.82,552458,0,9.620228550949522,1.165016681986318
164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1.0,8.81,339556,1,5.8086979256667375,0.6468491969077182
7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1.0,8.81,240297,1,4.031689168891581,0.40526956683652693
